Iteration,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
0,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38
1,27710.9,27877.8,28637.9,28658.2,28952.5,28878.8,27508.7,29047.2,27543.5,28646.3
2,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
3,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
4,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
5,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
6,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
7,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
8,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
9,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
10,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
11,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
12,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
13,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
14,27710.9,27800.3,28637.9,28658.2,28952.5,28743.8,27508.7,28947.9,27543.5,28646.3
15,27710.9,27800.3,28637.9,28541.4,28952.5,28743.8,27476.8,28874.7,27538.1,28646.3
16,27710.9,27784.1,28620.4,28541.4,28852.4,28710.3,27347.7,28874.7,27427.4,28646.3
17,27505.3,27736.2,28561.7,28355.7,28756.2,28660.5,27347.7,28770,27382.1,28557.3
18,27505.3,27665,28408.7,28312.6,28745.8,28586.7,27283.1,28682.2,27348.8,28481.6
19,27505.3,27551.3,28329.4,28263.8,28626.3,28437.2,27188.5,28655.9,27232.3,28314
20,27505.3,27522.8,28329.4,28263.8,28595.8,28437.2,27154,28600.1,27174,28314
21,27423.9,27485.2,28329.4,28168.6,28595.8,28404.8,27154,28600.1,27132.3,28314
22,27423.9,27459.3,28272.8,28168.6,28544.7,28404.8,27154,28503.6,27132.3,28314
23,27377.2,27420.6,28238.3,28153.2,28524.8,28404.8,27154,28503.6,27132.3,28222.7
24,27327.9,27382.4,28231.5,28128.7,28517,28382.9,27154,28503.6,27109.5,28222.7
25,27327.9,27382.4,28218.2,28128.7,28517,28382.9,27154,28503.6,27080.3,28222.7
26,27327.9,27382.4,28184.7,28089.2,28504.7,28358,27154,28503.6,27080.3,28222.7
27,27327.9,27382.4,28184.7,28089.2,28477.3,28357.2,27154,28503.6,27080.3,28199.1
28,27327.9,27382.4,28176.3,28083.6,28477.3,28357.2,27154,28503.6,27080.3,28199.1
29,27327.9,27382.4,28176.3,28083.6,28460.6,28357.2,27115.3,28503.6,27080.3,28199.1
30,27327.9,27371.4,28176.3,28083.6,28460.6,28335.1,27115.3,28503.6,27080.3,28199.1
31,27327.9,27371.4,28176.3,28083.6,28460.6,28334.3,27115.3,28503.6,27067.4,28198.4
32,27317.1,27371.4,28176.3,28083.6,28460.6,28334.3,27115.3,28503.6,27067.4,28198.4
33,27317.1,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
34,27317.1,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
35,27300.7,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
36,27300.7,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
37,27300.7,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
38,27300.7,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
39,27300.7,27371.4,28176.3,28083.6,28460.6,28320.1,27115.3,28503.6,27067.4,28192.9
40,27300.7,27371.4,28176.3,28083.6,28460.6,28315,27115.3,28503.6,27067.4,28192.9
