Iteration,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
0,26492.9,26797.8,27304.1,27201.9,27832.7,27531.8,27332,27581.7,27555.2,26883.4
1,26492.9,26797.8,27304.1,27201.9,27832.7,27455.7,27332,27581.7,27555.2,26863.5
2,26492.9,26797.8,27304.1,27201.9,27832.7,27455.7,27332,27581.7,27555.2,26794.3
3,26492.9,26797.8,27304.1,27201.9,27832.7,27455.7,27332,27581.7,27555.2,26794.3
4,26492.9,26797.8,27304.1,27201.9,27832.7,27455.7,27261.1,27581.7,27555.2,26794.3
5,26492.9,26797.8,27304.1,27201.9,27832.7,27455.7,27261.1,27581.7,27555.2,26794.3
6,26492.9,26766.5,27304.1,27201.9,27832.7,27455.7,27261.1,27581.7,27555.2,26794.3
7,26492.9,26766.5,27304.1,27201.9,27832.7,27455.7,27261.1,27581.7,27555.2,26794.3
8,26492.9,26766.5,27304.1,27201.9,27832.7,27455.7,27261.1,27551.7,27555.2,26794.3
9,26492.9,26766.5,27304.1,27191.4,27832.7,27438.7,27261.1,27551.7,27555.2,26794.3
10,26492.9,26757,27304.1,27191.4,27832.7,27438.7,27261.1,27551.7,27555.2,26794.3
11,26492.9,26757,27304.1,27191.4,27832.7,27438.7,27261.1,27551.7,27555.2,26794.3
12,26492.9,26757,27304.1,27191.4,27832.7,27438.7,27261.1,27551.7,27555.2,26794.3
13,26492.9,26757,27230.9,27191.4,27832.7,27438.7,27261.1,27551.7,27555.2,26794.3
14,26492.9,26757,27230.9,27191.4,27832.7,27438.7,27261.1,27551.7,27539.6,26794.3
15,26492.9,26757,27230.9,27191.4,27832.7,27438.7,27261.1,27551.7,27539.6,26794.3
16,26492.9,26757,27230.9,27191.4,27832.7,27438.7,27223.7,27551.7,27539.6,26794.3
17,26492.9,26757,27230.9,27191.4,27832.7,27438.7,27223.7,27551.7,27539.6,26789.1
18,26492.9,26757,27230.9,27191.4,27832.7,27438.7,27223.7,27551.7,27539.6,26789.1
19,26492.9,26757,27163.1,27191.4,27832.7,27438.7,27223.7,27551.7,27539.6,26789.1
20,26492.9,26757,27163.1,27191.4,27832.7,27438.7,27223.7,27551.7,27539.6,26789.1
21,26492.9,26757,27163.1,27191.4,27832.7,27438.7,27223.7,27551.7,27539.6,26789.1
22,26492.9,26741.1,27163.1,27191.4,27832.7,27438.7,27223.7,27545.5,27539.6,26789.1
23,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27545.5,27539.6,26356.6
24,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27545.5,27539.6,26356.6
25,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27545.5,27539.6,26356.6
26,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
27,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
28,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
29,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
30,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
31,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
32,26492.9,26741.1,27163.1,27191.4,27832.7,27397.2,27223.7,27408.2,27539.6,26356.6
33,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
34,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
35,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
36,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
37,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
38,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
39,26492.9,26741.1,27163.1,27191.4,27745.6,27397.2,27223.7,27408.2,27539.6,26356.6
40,26492.9,26741.1,27163.1,27191.4,27745.6,27227.7,27223.7,27408.2,27539.6,26356.6
