Iteration,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
0,28133.1,26929.5,27260.8,27898.1,27472,27066.4,26999.3,27429.2,27973.2,26847.5
1,28133.1,26929.5,27260.8,27898.1,27418.6,27066.4,26999.3,27429.2,27973.2,26847.5
2,28133.1,26929.5,27260.8,27898.1,27418.6,27066.4,26999.3,27429.2,27631.1,26778.1
3,28133.1,26929.5,27260.8,27898.1,27418.6,27066.4,26999.3,27429.2,27572.7,26778.1
4,28133.1,26929.5,27260.8,27898.1,27418.6,27066.4,26999.3,27429.2,27572.7,26653
5,28133.1,26929.5,27260.8,27898.1,27390.3,27066.4,26851.3,27429.2,27572.7,26653
6,28133.1,26929.5,27260.8,27779.6,27390.3,27066.4,26851.3,27429.2,27539.4,26653
7,28133.1,26929.5,27260.8,27779.6,27307.3,27066.4,26851.3,27429.2,27539.4,26653
8,28133.1,26929.5,27260.8,27779.6,27307.3,26957.2,26851.3,27429.2,27539.4,26653
9,28133.1,26929.5,27260.8,27779.6,27307.3,26957.2,26851.3,27429.2,27539.4,26653
10,28133.1,26929.5,27260.8,27779.6,27307.3,26957.2,26851.3,27429.2,27539.4,26653
11,28133.1,26929.5,27260.8,27692.5,27307.3,26957.2,26851.3,27429.2,27539.4,26653
12,28133.1,26929.5,27260.8,27692.5,27307.3,26957.2,26851.3,27429.2,27539.4,26653
13,28133.1,26929.5,27075.7,27692.5,27145,26957.2,26851.3,27429.2,27539.4,26653
14,27958.1,26696.5,27075.7,27692.5,27145,26957.2,26833.5,27429.2,27539.4,26653
15,27958.1,26696.5,27075.7,27692.5,27145,26957.2,26833.5,27429.2,27539.4,26653
16,27958.1,26615.8,27075.7,27692.5,27145,26957.2,26833.5,27429.2,27539.4,26653
17,27956.9,26615.8,27075.7,27692.5,27145,26957.2,26833.5,27429.2,27539.4,26653
18,27956.9,26615.8,27075.7,27692.5,27145,26957.2,26833.5,27429.2,27539.4,26603.8
19,27956.9,26615.8,27075.7,27577.2,27145,26957.2,26833.5,27429.2,27539.4,26603.8
20,27956.9,26615.8,27042.5,27577.2,27145,26957.2,26833.5,27429.2,27539.4,26601.2
