Iteration,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
0,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38,3.40282e+38
1,28796.2,28083.5,28150,28774.9,27541.4,28976.1,28013,28889.7,27806.2,28514.1
2,28796.2,28083.5,28150,28773.6,27541.4,28970.1,28013,28889.7,27806.2,28514.1
3,28796.2,28083.5,27881,28773.6,27541.4,28970.1,28013,28889.7,27806.2,28514.1
4,28796.2,28083.5,27881,28616.2,27541.4,28970.1,28013,28868.8,27806.2,28514.1
5,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28868.8,27806.2,28514.1
6,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
7,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
8,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
9,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
10,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
11,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
12,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
13,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
14,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
15,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
16,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
17,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
18,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
19,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
20,28796.2,28083.5,27881,28616.2,27541.4,28965.1,28013,28772.2,27806.2,28514.1
